First Name,Last Name,Company Name,Role in Company,Address,Email,Phone Number
Carolina,Martins,Ophthalmic laboratory technician,Big Wheel,"Rua Cristovam Colombo Gonçalves, 1616",CarolinaCunhaMartins@teleworm.us,(11) 2062-6198
Estevan,Martins,Carpet installer,Boys Markets,"Quadra AR 11 Conjunto 07, 598",EstevanSantosMartins@rhyta.com,(61) 3573-5131
Otávio,Lima,Training director,Tradewell,"Rua WH-8, 1979",OtavioGomesLima@rhyta.com,(91) 9847-3105
Gabrielle,Ribeiro,Office manager,Food Fair,"Rua João Murilo de Oliveira, 1186",GabriellePereiraRibeiro@dayrep.com,(81) 2775-7484
Joao,Ferreira,Correspondence clerk,Friendly Advice,"Rua Formiga, 477",JoaoCorreiaFerreira@jourrapide.com,(31) 5114-3973
Lavinia,Rocha,University dean,Luskin's,"Rua Pedro Velho, 285",LaviniaAraujoRocha@rhyta.com,(53) 2356-5008
Gabriela,Sousa,Employment recruiter,Better Business Ideas and Services,"Rua Doutor José Pedro Bezerra, 1899",GabrielaMeloSousa@rhyta.com,(84) 8441-7131
Thaís,Ribeiro,Farm equipment mechanic,Polk Brothers,"Rua Raimundo Zósimo de Carvalho, 1939",ThaisFernandesRibeiro@rhyta.com,(83) 7869-5314
Rafaela,Cardoso,Wire installer,Excella,"Rua Vila Lobos, 435",RafaelaPereiraCardoso@dayrep.com,(24) 6749-4945
Felipe,Fernandes,Geophysical prospecting surveyor,Wetson's,"Travessa Ernestina Soares, 1501",FelipeCunhaFernandes@jourrapide.com,(21) 9886-8330
